SystemTimeStamp,meanX,meanY,meanValidity,lX,lY,lV,lPupil,lPupilV,rX,rY,rV,rPupil,rPupilV,participant,language,list,trialID,trial,trialType,phase,extra
107941688,0.485045165,0.517783165,1,0.48391059,0.506956697,1,3.486968994,1,0.486179739,0.528609633,1,3.479949951,1,1,spa,1,7,1,NA,prime,zapato
107941696,0.485201776,0.528335154,1,0.484904915,0.515257537,1,3.502441406,1,0.485498607,0.541412771,1,3.49458313,1,1,spa,1,7,1,NA,prime,zapato
107941704,0.484881282,0.506316125,1,0.482933998,0.48364535,1,3.438964844,1,0.486828536,0.528986931,1,3.489486694,1,1,spa,1,7,1,NA,prime,zapato
107941712,0.490265071,0.491165876,1,0.488874078,0.499245673,1,3.455474854,1,0.491656065,0.48308605,1,3.472702026,1,1,spa,1,7,1,NA,prime,zapato
107941728,0.488039821,0.493985355,1,0.485426992,0.490885109,1,3.443405151,1,0.490652651,0.497085631,1,3.432815552,1,1,spa,1,7,1,NA,prime,zapato
107941736,0.485550106,0.475170255,1,0.481179565,0.473666847,1,3.425384521,1,0.489920646,0.476673663,1,3.372665405,1,1,spa,1,7,1,NA,prime,zapato
107941744,0.485990584,0.488397181,1,0.483823925,0.476761669,1,3.418289185,1,0.488157213,0.500032723,1,3.443771362,1,1,spa,1,7,1,NA,prime,zapato
107941752,0.49015674,0.461393297,1,0.489585996,0.434725583,1,3.32194519,1,0.490727484,0.488061011,1,3.426986694,1,1,spa,1,7,1,NA,prime,zapato
107941760,0.489625394,0.503231108,1,0.487442046,0.502098739,1,3.471481323,1,0.491808742,0.504363477,1,3.420593262,1,1,spa,1,7,1,NA,prime,zapato
107941768,0.485969245,0.49867326,1,0.484548002,0.487164497,1,3.430648804,1,0.487390488,0.510182023,1,3.44619751,1,1,spa,1,7,1,NA,prime,zapato
107941776,0.488392502,0.499145031,1,0.485597163,0.492679626,1,3.448486328,1,0.491187841,0.505610406,1,3.410629272,1,1,spa,1,7,1,NA,prime,zapato
107941784,0.485907316,0.503982425,1,0.485168427,0.482404619,1,3.437515259,1,0.486646235,0.5255602,1,3.4815979,1,1,spa,1,7,1,NA,prime,zapato
107941792,0.49003309,0.475593209,1,0.486148536,0.469108701,1,3.396469116,1,0.493917644,0.482077748,1,3.372207642,1,1,spa,1,7,1,NA,prime,zapato
107941800,0.489237547,0.485930979,1,0.48660621,0.475817233,1,3.42578125,1,0.491868913,0.496044725,1,3.397491455,1,1,spa,1,7,1,NA,prime,zapato
107941808,0.489883363,0.501811266,1,0.485876709,0.503471911,1,3.499191284,1,0.493889987,0.500150681,1,3.359024048,1,1,spa,1,7,1,NA,prime,zapato
107941816,0.486299753,0.478192627,1,0.48448813,0.439192027,1,3.363220215,1,0.488111347,0.517193258,1,3.356262207,1,1,spa,1,7,1,NA,prime,zapato
107941824,0.490691721,0.4596681,1,0.48872596,0.465356976,1,3.434967041,1,0.492657512,0.453979254,1,3.612045288,1,1,spa,1,7,1,NA,prime,zapato
107941832,0.489576638,0.5044384,1,0.490815908,0.485757411,1,3.459487915,1,0.488337398,0.52311939,1,3.430206299,1,1,spa,1,7,1,NA,prime,zapato
107941840,0.488577485,0.502750516,1,0.486723334,0.485884964,1,3.480651855,1,0.490431666,0.519616008,1,3.414825439,1,1,spa,1,7,1,NA,prime,zapato
107941848,0.492036998,0.43303293,1,0.493251562,0.406704962,1,3.285369873,1,0.490822434,0.459360927,1,3.541595459,1,1,spa,1,7,1,NA,prime,zapato
107941856,0.490559787,0.500312865,1,0.491514564,0.46747008,1,3.439208984,1,0.48960501,0.53315562,1,3.41116333,1,1,spa,1,7,1,NA,prime,zapato
