"participant","age_group","lp","vocab_size_total","vocab_size_l1","vocab_size_conceptual","is_imputed"
"cognatepriming100","21 months","Bilingual",0.45467224546722457,0.5433526011560693,0.5698924731182796,false
"cognatepriming101","21 months","Monolingual",0.21807747489239598,0.3505747126436782,0.3628571428571429,false
"cognatepriming102","21 months","Monolingual",0.30942334739803096,0.6432748538011696,0.5945945945945946,false
"cognatepriming103","21 months","Bilingual",0.3929577464788732,0.4365781710914454,0.5336927223719676,false
"cognatepriming104","21 months","Monolingual",0.31850789096126253,0.4871060171919771,0.4942857142857143,false
"cognatepriming105","21 months","Bilingual",0.7446197991391679,0.7586206896551724,0.7914285714285715,false
"cognatepriming57","25 months","Bilingual",0.9134615384615384,0.7890173410404624,0.8655913978494624,true
"cognatepriming51","25 months","Monolingual",0.6899038461538461,0.8923076923076924,0.8778280542986425,false
"cognatepriming106","21 months","Bilingual",0.9134615384615384,0.8620689655172413,0.9114285714285715,true
"cognatepriming50","25 months","Monolingual",0.6304044630404463,0.8815028901734104,0.8629032258064516,false
"cognatepriming107","21 months","Monolingual",0.35443037974683544,0.47076023391812866,0.4702702702702703,false
"cognatepriming108","21 months","Bilingual",0.4084507042253521,0.431266846361186,0.49595687331536387,false
"cognatepriming54","25 months","Monolingual",0.7514450867052023,0.616519174041298,0.7514450867052023,true
"cognatepriming74","30 months","Monolingual",0.6312769010043041,0.896551724137931,0.8942857142857142,false
"cognatepriming52","25 months","Monolingual",0.9605633802816902,0.8323699421965318,0.9432432432432433,true
"cognatepriming64","30 months","Monolingual",0.9349593495934959,0.9080459770114943,0.9008498583569405,true
"cognatepriming80","30 months","Bilingual",0.6464788732394366,0.7277628032345014,0.7439353099730458,false
"cognatepriming59","30 months","Monolingual",0.939117199391172,0.9396551724137931,0.96,false
"cognatepriming109","21 months","Bilingual",0.8598382749326146,0.8157181571815718,0.8598382749326146,true
"cognatepriming111","30 months","Bilingual",0.4317862165963432,0.6063218390804598,0.6388140161725068,true
"cognatepriming53","30 months","Monolingual",0.2654232424677188,0.5229885057471264,0.52,false
"cognatepriming67","30 months","Bilingual",0.8771929824561403,0.7902298850574713,0.8486486486486486,true
"cognatepriming65","30 months","Monolingual",0.8677918424753868,0.8063583815028902,0.94,true
"cognatepriming60","30 months","Bilingual",0.7369901547116737,0.8265582655826558,0.8405405405405405,false
"cognatepriming58","30 months","Bilingual",0.9673495518565941,0.8620689655172413,0.9381720430107527,true
"cognatepriming70","25 months","Monolingual",0.9633802816901409,0.9730458221024259,0.9730458221024259,false
"cognatepriming72","25 months","Monolingual",0.9673495518565941,0.9396551724137931,0.967654986522911,true
"cognatepriming78","25 months","Monolingual",0.340365682137834,0.6491228070175439,0.6243243243243243,false
"cognatepriming73","25 months","Monolingual",0.9134615384615384,0.8713450292397661,0.9257142857142857,true
"cognatepriming81","25 months","Monolingual",0.6028169014084507,0.6135693215339233,0.692722371967655,false
"cognatepriming82","25 months","Monolingual",0.9605633802816902,0.7716763005780347,0.8771929824561403,true
"cognatepriming76","25 months","Bilingual",0.7618364418938307,0.7212643678160919,0.8485714285714285,false
"cognatepriming69","30 months","Monolingual",0.5230125523012552,0.3872832369942196,0.6881720430107527,false
"cognatepriming84","25 months","Monolingual",0.9349593495934959,0.8644986449864499,0.9166666666666666,true
"cognatepriming86","25 months","Bilingual",0.9056338028169014,0.831858407079646,0.8951612903225806,true
"cognatepriming112","21 months","Monolingual",0.7313642756680732,0.5404624277456648,0.706199460916442,true
"cognatepriming113","21 months","Monolingual",0.47280334728033474,0.6705202312138728,0.6612903225806451,false
"cognatepriming79","25 months","Monolingual",0.38633193863319387,0.6213872832369942,0.6129032258064516,false
"cognatepriming114","21 months","Monolingual",0.3980309423347398,0.2982456140350877,0.5216216216216216,false
"cognatepriming115","21 months","Monolingual",0.6098591549295774,0.7358490566037735,0.7601078167115903,false
"cognatepriming75","30 months","Monolingual",0.5084507042253521,0.41297935103244837,0.6881720430107527,true
"cognatepriming116","21 months","Monolingual",0.4859154929577465,0.8053097345132744,0.7771428571428571,true
"cognatepriming117","21 months","Bilingual",0.9349593495934959,0.8771929824561403,0.9349593495934959,true
"cognatepriming118","21 months","Monolingual",0.15049226441631505,0.26608187134502925,0.2648648648648649,false
"cognatepriming119","21 months","Monolingual",0.3436619718309859,0.6047197640117994,0.5633423180592992,false
"cognatepriming120","21 months","Bilingual",0.5515463917525774,0.5897435897435898,0.5472779369627507,false
"cognatepriming92","25 months","Monolingual",0.47419804741980476,0.6184971098265896,0.6075268817204301,false
"cognatepriming121","21 months","Monolingual",0.9605633802816902,0.7905604719764012,0.8951612903225806,true
"cognatepriming100","25 months","Bilingual",0.698744769874477,0.7572254335260116,0.803763440860215,false
"cognatepriming91","25 months","Monolingual",0.5853658536585366,0.6561604584527221,0.7028571428571428,false
"cognatepriming122","21 months","Bilingual",0.6680613668061367,0.5256064690026954,0.6162162162162163,true
"cognatepriming90","25 months","Bilingual",0.7405857740585774,0.7976878612716763,0.8172043010752689,false
"cognatepriming123","21 months","Bilingual",0.38591549295774646,0.3881401617250674,0.4420485175202156,false
"cognatepriming124","21 months","Bilingual",0.4711673699015471,0.3830409356725146,0.6,false
"cognatepriming88","25 months","Bilingual",0.8771929824561403,0.7212643678160919,0.8355795148247979,true
"cognatepriming125","21 months","Monolingual",0.4309623430962343,0.5867052023121387,0.6102150537634409,false
"cognatepriming126","21 months","Bilingual",0.3098995695839311,0.21551724137931033,0.44571428571428573,false
